"Local_Authority","Multiplier","Date","School_Holiday"
"Aberdeen",0.00297414902887355,"2023-06-24",0
"Aberdeen",0.00297414902887355,"2023-06-25",0
"Aberdeen",0.00297414902887355,"2023-06-26",0
"Aberdeen",0.00297414902887355,"2023-06-27",0
"Aberdeen",0.00297414902887355,"2023-06-28",0
"Aberdeen",0.00297414902887355,"2023-06-29",0
"Aberdeen",0.00297414902887355,"2023-06-30",0
"Aberdeen",0.00297414902887355,"2023-07-01",0
"Aberdeen",0.00297414902887355,"2023-07-02",0
"Aberdeen",0.00297414902887355,"2023-07-03",0
"Aberdeen",0.00297414902887355,"2023-07-04",0
"Aberdeen",0.00297414902887355,"2023-07-05",0
"Aberdeen",0.00297414902887355,"2023-07-06",0
"Aberdeen",0.00297414902887355,"2023-07-07",0
"Aberdeen",0.00297414902887355,"2023-07-08",1
"Aberdeen",0.00297414902887355,"2023-07-09",1
"Aberdeen",0.00297414902887355,"2023-07-10",1
"Aberdeen",0.00297414902887355,"2023-07-11",1
"Aberdeen",0.00297414902887355,"2023-07-12",1
"Aberdeen",0.00297414902887355,"2023-07-13",1
"Aberdeen",0.00297414902887355,"2023-07-14",1
"Aberdeen",0.00297414902887355,"2023-07-15",1
"Aberdeen",0.00297414902887355,"2023-07-16",1
"Aberdeen",0.00297414902887355,"2023-07-17",1
"Aberdeen",0.00297414902887355,"2023-07-18",1
"Aberdeen",0.00297414902887355,"2023-07-19",1
"Aberdeen",0.00297414902887355,"2023-07-20",1
"Aberdeen",0.00297414902887355,"2023-07-21",1
"Aberdeen",0.00297414902887355,"2023-07-22",1
"Aberdeen",0.00297414902887355,"2023-07-23",1
"Aberdeen",0.00297414902887355,"2023-07-24",1
"Aberdeen",0.00297414902887355,"2023-07-25",1
"Aberdeen",0.00297414902887355,"2023-07-26",1
"Aberdeen",0.00297414902887355,"2023-07-27",1
"Aberdeen",0.00297414902887355,"2023-07-28",1
"Aberdeen",0.00297414902887355,"2023-07-29",1
"Aberdeen",0.00297414902887355,"2023-07-30",1
"Aberdeen",0.00297414902887355,"2023-07-31",1
"Aberdeen",0.00297414902887355,"2023-08-01",1
"Aberdeen",0.00297414902887355,"2023-08-02",1
"Aberdeen",0.00297414902887355,"2023-08-03",1
"Aberdeen",0.00297414902887355,"2023-08-04",1
"Aberdeen",0.00297414902887355,"2023-08-05",1
"Aberdeen",0.00297414902887355,"2023-08-06",1
"Aberdeen",0.00297414902887355,"2023-08-07",1
"Aberdeen",0.00297414902887355,"2023-08-08",1
"Aberdeen",0.00297414902887355,"2023-08-09",1
"Aberdeen",0.00297414902887355,"2023-08-10",1
"Aberdeen",0.00297414902887355,"2023-08-11",1
"Aberdeen",0.00297414902887355,"2023-08-12",1
"Aberdeen",0.00297414902887355,"2023-08-13",1
"Aberdeen",0.00297414902887355,"2023-08-14",1
"Aberdeen",0.00297414902887355,"2023-08-15",1
"Aberdeen",0.00297414902887355,"2023-08-16",1
"Aberdeen",0.00297414902887355,"2023-08-17",1
"Aberdeen",0.00297414902887355,"2023-08-18",1
"Aberdeen",0.00297414902887355,"2023-08-19",1
"Aberdeen",0.00297414902887355,"2023-08-20",1
"Aberdeen",0.00297414902887355,"2023-08-21",1
"Aberdeen",0.00297414902887355,"2023-08-22",0
"Aberdeen",0.00297414902887355,"2023-08-23",0
"Aberdeen",0.00297414902887355,"2023-08-24",0
"Aberdeen",0.00297414902887355,"2023-08-25",0
"Aberdeen",0.00297414902887355,"2023-08-26",0
"Aberdeen",0.00297414902887355,"2023-08-27",0
"Aberdeen",0.00297414902887355,"2023-08-28",0
"Aberdeen",0.00297414902887355,"2023-08-29",0
"Aberdeen",0.00297414902887355,"2023-08-30",0
"Aberdeen",0.00297414902887355,"2023-08-31",0
"Aberdeen",0.00297414902887355,"2023-09-01",0
"Aberdeen",0.00297414902887355,"2023-09-02",0
"Aberdeen",0.00297414902887355,"2023-09-03",0
"Aberdeen",0.00297414902887355,"2023-09-04",0
"Aberdeen",0.00297414902887355,"2023-09-05",0
"Aberdeen",0.00297414902887355,"2023-09-06",0
"Aberdeen",0.00297414902887355,"2023-09-07",0
"Aberdeen",0.00297414902887355,"2023-09-08",0
"Aberdeen",0.00297414902887355,"2023-09-09",0
"Aberdeen",0.00297414902887355,"2023-09-10",0
"Aberdeen",0.00297414902887355,"2023-09-11",0
