"Local_Authority","Multiplier","Date","School_Holiday"
"Aberdeen",0.0029507553595525,"2022-09-19",0
"Aberdeen",0.0029507553595525,"2022-09-20",0
"Aberdeen",0.0029507553595525,"2022-09-21",0
"Aberdeen",0.0029507553595525,"2022-09-22",0
"Aberdeen",0.0029507553595525,"2022-09-23",0
"Aberdeen",0.0029507553595525,"2022-09-24",0
"Aberdeen",0.0029507553595525,"2022-09-25",0
"Aberdeen",0.0029507553595525,"2022-09-26",0
"Aberdeen",0.0029507553595525,"2022-09-27",0
"Aberdeen",0.0029507553595525,"2022-09-28",0
"Aberdeen",0.0029507553595525,"2022-09-29",0
"Aberdeen",0.0029507553595525,"2022-09-30",0
"Aberdeen",0.0029507553595525,"2022-10-01",0
"Aberdeen",0.0029507553595525,"2022-10-02",0
"Aberdeen",0.0029507553595525,"2022-10-03",0
"Aberdeen",0.0029507553595525,"2022-10-04",0
"Aberdeen",0.0029507553595525,"2022-10-05",0
"Aberdeen",0.0029507553595525,"2022-10-06",0
"Aberdeen",0.0029507553595525,"2022-10-07",0
"Aberdeen",0.0029507553595525,"2022-10-08",0
"Aberdeen",0.0029507553595525,"2022-10-09",0
"Aberdeen",0.0029507553595525,"2022-10-10",0
"Aberdeen",0.0029507553595525,"2022-10-11",0
"Aberdeen",0.0029507553595525,"2022-10-12",0
"Aberdeen",0.0029507553595525,"2022-10-13",0
"Aberdeen",0.0029507553595525,"2022-10-14",0
"Aberdeen",0.0029507553595525,"2022-10-15",1
"Aberdeen",0.0029507553595525,"2022-10-16",1
"Aberdeen",0.0029507553595525,"2022-10-17",1
"Aberdeen",0.0029507553595525,"2022-10-18",1
"Aberdeen",0.0029507553595525,"2022-10-19",1
"Aberdeen",0.0029507553595525,"2022-10-20",1
"Aberdeen",0.0029507553595525,"2022-10-21",1
"Aberdeen",0.0029507553595525,"2022-10-22",1
"Aberdeen",0.0029507553595525,"2022-10-23",1
"Aberdeen",0.0029507553595525,"2022-10-24",1
"Aberdeen",0.0029507553595525,"2022-10-25",1
"Aberdeen",0.0029507553595525,"2022-10-26",1
"Aberdeen",0.0029507553595525,"2022-10-27",1
"Aberdeen",0.0029507553595525,"2022-10-28",1
"Aberdeen",0.0029507553595525,"2022-10-29",1
"Aberdeen",0.0029507553595525,"2022-10-30",1
"Aberdeen",0.0029507553595525,"2022-10-31",0
"Aberdeen",0.0029507553595525,"2022-11-01",0
"Aberdeen",0.0029507553595525,"2022-11-02",0
"Aberdeen",0.0029507553595525,"2022-11-03",0
"Aberdeen",0.0029507553595525,"2022-11-04",0
"Aberdeen",0.0029507553595525,"2022-11-05",0
"Aberdeen",0.0029507553595525,"2022-11-06",0
"Aberdeen",0.0029507553595525,"2022-11-07",0
"Aberdeen",0.0029507553595525,"2022-11-08",0
"Aberdeen",0.0029507553595525,"2022-11-09",0
"Aberdeen",0.0029507553595525,"2022-11-10",0
"Aberdeen",0.0029507553595525,"2022-11-11",0
"Aberdeen",0.0029507553595525,"2022-11-12",0
"Aberdeen",0.0029507553595525,"2022-11-13",0
"Aberdeen",0.0029507553595525,"2022-11-14",0
"Aberdeen",0.0029507553595525,"2022-11-15",0
"Aberdeen",0.0029507553595525,"2022-11-16",0
"Aberdeen",0.0029507553595525,"2022-11-17",0
"Aberdeen",0.0029507553595525,"2022-11-18",0
"Aberdeen",0.0029507553595525,"2022-11-19",0
"Aberdeen",0.0029507553595525,"2022-11-20",0
"Aberdeen",0.0029507553595525,"2022-11-21",0
"Aberdeen",0.0029507553595525,"2022-11-22",0
"Aberdeen",0.0029507553595525,"2022-11-23",0
"Aberdeen",0.0029507553595525,"2022-11-24",0
"Aberdeen",0.0029507553595525,"2022-11-25",0
"Aberdeen",0.0029507553595525,"2022-11-26",0
"Aberdeen",0.0029507553595525,"2022-11-27",0
"Aberdeen",0.0029507553595525,"2022-11-28",0
"Aberdeen",0.0029507553595525,"2022-11-29",0
"Aberdeen",0.0029507553595525,"2022-11-30",0
"Aberdeen",0.0029507553595525,"2022-12-01",0
"Aberdeen",0.0029507553595525,"2022-12-02",0
"Aberdeen",0.0029507553595525,"2022-12-03",0
"Aberdeen",0.0029507553595525,"2022-12-04",0
"Aberdeen",0.0029507553595525,"2022-12-05",0
"Aberdeen",0.0029507553595525,"2022-12-06",0
"Aberdeen",0.0029507553595525,"2022-12-07",0
"Aberdeen",0.0029507553595525,"2022-12-08",0
"Aberdeen",0.0029507553595525,"2022-12-09",0
"Aberdeen",0.0029507553595525,"2022-12-10",0
"Aberdeen",0.0029507553595525,"2022-12-11",0
"Aberdeen",0.0029507553595525,"2022-12-12",0
"Aberdeen",0.0029507553595525,"2022-12-13",0
"Aberdeen",0.0029507553595525,"2022-12-14",0
"Aberdeen",0.0029507553595525,"2022-12-15",0
"Aberdeen",0.0029507553595525,"2022-12-16",0
"Aberdeen",0.0029507553595525,"2022-12-17",0
"Aberdeen",0.0029507553595525,"2022-12-18",0
"Aberdeen",0.0029507553595525,"2022-12-19",0
"Aberdeen",0.0029507553595525,"2022-12-20",0
"Aberdeen",0.0029507553595525,"2022-12-21",0
"Aberdeen",0.0029507553595525,"2022-12-22",0
"Aberdeen",0.0029507553595525,"2022-12-23",1
"Aberdeen",0.0029507553595525,"2022-12-24",1
